Date,Close,High,Low,Open,Volume
,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI
2025-04-23,24328.94921875,24359.30078125,24119.94921875,24357.599609375,415000
2025-04-24,24246.69921875,24347.849609375,24216.150390625,24277.900390625,358800
2025-04-25,24039.349609375,24365.44921875,23847.849609375,24289.0,387700
2025-04-28,24328.5,24355.099609375,24054.05078125,24070.25,320500
2025-04-29,24335.94921875,24457.650390625,24290.75,24370.69921875,357600
2025-04-30,24334.19921875,24396.150390625,24198.75,24342.05078125,424500
2025-05-02,24346.69921875,24589.150390625,24238.5,24311.900390625,421100
2025-05-05,24461.150390625,24526.400390625,24400.650390625,24419.5,291500
2025-05-06,24379.599609375,24509.650390625,24331.80078125,24500.75,302400
2025-05-07,24414.400390625,24449.599609375,24220.0,24233.30078125,330100
2025-05-08,24273.80078125,24447.25,24150.19921875,24431.5,411400
2025-05-09,24008.0,24164.25,23935.75,23935.75,335600
2025-05-12,24924.69921875,24944.80078125,24378.849609375,24420.099609375,368700
2025-05-13,24578.349609375,24973.80078125,24547.5,24864.05078125,423000
2025-05-14,24666.900390625,24767.55078125,24535.55078125,24613.80078125,345500
2025-05-15,25062.099609375,25116.25,24494.44921875,24694.44921875,500800
2025-05-16,25019.80078125,25070.0,24953.05078125,25064.650390625,432700
2025-05-19,24945.44921875,25062.94921875,24916.650390625,25005.349609375,255300
2025-05-20,24683.900390625,25010.349609375,24669.69921875,24996.19921875,414800
2025-05-21,24813.44921875,24946.19921875,24685.349609375,24744.25,332700
2025-05-22,24609.69921875,24737.5,24462.400390625,24733.94921875,403300
2025-05-23,24853.150390625,24909.05078125,24614.05078125,24639.5,270500
2025-05-26,25001.150390625,25079.19921875,24900.5,24919.349609375,302800
2025-05-27,24826.19921875,25062.900390625,24704.099609375,24956.650390625,525700
2025-05-28,24752.44921875,24864.25,24737.05078125,24832.5,684400
2025-05-29,24833.599609375,24892.599609375,24677.30078125,24825.099609375,345400
2025-05-30,24750.69921875,24863.94921875,24717.400390625,24812.599609375,853900
2025-06-02,24716.599609375,24754.400390625,24526.150390625,24669.69921875,311100
2025-06-03,24542.5,24845.099609375,24502.150390625,24786.30078125,349300
2025-06-04,24620.19921875,24644.25,24530.44921875,24560.44921875,280900
2025-06-05,24750.900390625,24899.849609375,24613.099609375,24691.19921875,388400
2025-06-06,25003.05078125,25029.5,24671.44921875,24748.69921875,335600
2025-06-09,25103.19921875,25160.099609375,25077.150390625,25160.099609375,279200
2025-06-10,25104.25,25199.30078125,25055.44921875,25196.05078125,307300
2025-06-11,25141.400390625,25222.400390625,25081.30078125,25134.150390625,301200
2025-06-12,24888.19921875,25196.19921875,24825.900390625,25164.44921875,328300
2025-06-13,24718.599609375,24754.349609375,24473.0,24473.0,318700
2025-06-16,24946.5,24967.099609375,24703.599609375,24732.349609375,305800
2025-06-17,24853.400390625,24982.05078125,24813.69921875,24977.849609375,242400
2025-06-18,24812.05078125,24947.55078125,24750.44921875,24788.349609375,237600
2025-06-19,24793.25,24863.099609375,24733.400390625,24803.25,274600
2025-06-20,25112.400390625,25136.19921875,24783.650390625,24787.650390625,574700
2025-06-23,24971.900390625,25057.0,24824.849609375,24939.75,248500
2025-06-24,25044.349609375,25317.69921875,24999.69921875,25179.900390625,450200
2025-06-25,25244.75,25266.80078125,25125.05078125,25150.349609375,260600
2025-06-26,25549.0,25565.30078125,25259.900390625,25268.94921875,428900
2025-06-27,25637.80078125,25654.19921875,25523.55078125,25576.650390625,564000
2025-06-30,25517.05078125,25669.349609375,25473.30078125,25661.650390625,271000
2025-07-01,25541.80078125,25593.400390625,25501.80078125,25551.349609375,260700
2025-07-02,25453.400390625,25608.099609375,25378.75,25588.30078125,309800
2025-07-03,25405.30078125,25587.5,25384.349609375,25505.099609375,293400
2025-07-04,25461.0,25470.25,25331.650390625,25428.849609375,193500
2025-07-07,25461.30078125,25489.80078125,25407.25,25450.44921875,196100
2025-07-08,25522.5,25548.05078125,25424.150390625,25427.849609375,210400
2025-07-09,25476.099609375,25548.69921875,25424.349609375,25514.599609375,239100
2025-07-10,25355.25,25524.05078125,25340.44921875,25511.650390625,219600
2025-07-11,25149.849609375,25322.44921875,25129.0,25255.5,250000
2025-07-14,25082.30078125,25151.099609375,25001.94921875,25149.5,259500
2025-07-15,25195.80078125,25245.19921875,25088.44921875,25089.5,241300
2025-07-16,25212.05078125,25255.30078125,25121.05078125,25196.599609375,228800
2025-07-17,25111.44921875,25238.349609375,25101.0,25230.75,243400
2025-07-18,24968.400390625,25144.599609375,24918.650390625,25108.55078125,317000
2025-07-21,25090.69921875,25111.400390625,24882.30078125,24999.0,305200
2025-07-22,25060.900390625,25182.0,25035.55078125,25166.650390625,483700
2025-07-23,25219.900390625,25233.5,25085.5,25139.349609375,271500
2025-07-24,25062.099609375,25246.25,25018.69921875,25243.30078125,338700
2025-07-25,24837.0,25010.349609375,24806.349609375,25010.349609375,278100
2025-07-28,24680.900390625,24889.19921875,24646.599609375,24782.44921875,262100
2025-07-29,24821.099609375,24847.150390625,24598.599609375,24609.650390625,284700
2025-07-30,24855.05078125,24902.30078125,24771.94921875,24890.400390625,243900
